country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
Albania,AL,ALB,2862427,,4,02-08-2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,0,0,14-02-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,,5,17-05-2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,17-07-2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,,1,10-10-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,,0,31-03-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,9622,,18-10-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,780,,07-06-2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,,3,24-04-2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,42,,22-03-2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,20-06-2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,375,,16-07-2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,28-09-2020,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,0,24-06-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,1,29-09-2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,49,,05-10-2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,,25,27-04-2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,,150,26-09-2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,153,,02-07-2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,226,,04-10-2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,131,,19-10-2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,,2,28-09-2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,0,0,19-08-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,29,,30-09-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,,1,01-08-2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,01-06-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,27,,13-09-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,0,20-07-2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,06-02-2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2034,,22-08-2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,,7,08-04-2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,25-08-2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,,3,25-09-2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,12788,,09-10-2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,,0,18-03-2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,17-05-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,1,,16-06-2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,40,,21-05-2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,14,,13-08-2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,,115,03-09-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,247,,30-06-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,,0,09-03-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,309,,07-05-2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,,0,11-03-2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,0,0,25-02-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,0,07-01-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,,62,22-04-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,143,,23-05-2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,,49,04-10-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,,30,03-07-2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,0,0,02-02-2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,,0,11-07-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,,18,06-04-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,0,0,03-03-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,,0,31-03-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,121,,20-04-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,287,,13-07-2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,100,,15-07-2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,,0,17-08-2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,28-09-2020,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,1,,20-05-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,0,0,15-01-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,0,0,07-01-2020,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,,19,15-06-2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,,8,06-10-2020,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,,0,10-04-2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,347,,24-07-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,66,,11-06-2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,6,,21-06-2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,,0,30-05-2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,90,,25-08-2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,26-01-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,1,15-06-2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,42,,07-09-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,4,02-07-2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,,0,28-07-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,,17,22-09-2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,,3,22-06-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,0,0,04-03-2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,,0,16-09-2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,925,,26-03-2020,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,0,15-03-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,1694,,06-09-2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,0,0,28-09-2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1022,,20-05-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,78,,31-07-2020,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,,2,25-06-2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,0,0,17-02-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,471,,21-05-2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,,0,21-08-2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,,0,10-05-2020,"Epidemic intelligence, national daily data"
